paper_title,abstract,session_name,session_id,paper_id
Optimizing Operations Managerial Performance: A Data-Driven Approach at a Post-Production Facility," Senior company leadership at an aircraft maintenance, repair, and overhaul facility made an unusual request that their industrial engineering department conduct an observation targeted on operations first line leaders (FLLs) rather than their normal study of technicians. Analysis of the data collected during the observation, an abbreviated 3-day work sampling event, showed that implementing Standard Work for operations FLLs across all programs at the facility and redistributing necessary non-value-added FLL tasks to other functions would increase FLL engagement with their employees. The findings provided valuable insights, highlighted opportunities for continuous process improvement efforts, and better resource allocation to maximize productivity. The brief study serves as the foundation for future initiatives aimed at enhancing the effectiveness of all FLL within the company.",Optimization,154,1
Discovering Puerto Rico Roads Profile Influencing Traffic Fatalities," The infrastructure of Puerto Rico (PR) was given a grade point average of ""D-"" in 2019. Transportation crashes may be influenced, among others, by environmental or infrastructure hazards. Before creating and implementing the first PR Strategic Highway Safety Plan (SHSP), the island reported more than 200,000 traffic crashes annually between 2007-2013. They resulted in a staggering 360 fatalities and 5,200 seriously injured individuals. Road fatalities dropped by 20.72%, and serious injuries decreased by 36.93% throughout the SHSP 2014-2018 implementation. Despite this progress, pedestrian traffic fatalities continue to be a major worry. Is it possible to predict collision type, crash severity and identify specific roads for safety improvement based on the trafficway’s condition profile that could be useful for the Puerto Rico Highway and Transportation Authority (PRHTA)? Authors in Indonesia have used the Naive Bayes algorithm to predict crash severity by analyzing contributing factors. This research aims to establish a PR road profile with potential high-severity crashes. Data mining and predictive analytics helped to predict crash severity and its associated road location. Outputs showed tree (standing only), live animal, wall, utility pole/light support, fell/jumped from the vehicle, other non-collision, and ditch as the first crash injury-or-damage producing event. With 88.1% likelihood of suffering a fatal injury, especially in I-2 (Aguada and Aguadilla-Int. PR 459); CR-3 (Canóvanas, Carolina, Guayama (Int. Ancha de Blondet St. and Int. PR 54)); and I-52 (Caguas, Cayey, Juana Díaz, Salinas, Santa Isabel). PRHTA could consider the findings for focusing funds’ investments on safety improvement measures.",Logistics I,122,2
Designing Manufacturing Enterprises System for Industry 4.0," Currently, researchers are concentrating their attention on design for manufacturing, design for assembly, design for cost and design for quality, design for complexity, design for reconfiguration, design for sustainability and design for X...etc., but they do not mention design manufacturing enterprises system for Industry 4.0. The design manufacturing enterprises system for Industry 4.0.is a systemic approach that simultaneously identifies elements and components for designing manufacturing enterprises for Industry 4.0, taking into consideration new urgency of adopting Industry 4.0 and challenges and risk management for implementing Industry 4.0. In this paper, The designing level will be analyzed and presented by identifying the relative importance of urgent adoption and challenges of implementing Industry 4.0.",Process Planning-I,180,3
Achieving Equitable Access to Medical Laboratory Tests through Optimal Sparse Decision Tree," In contemporary healthcare, laboratory tests play an indispensable role in precision medicine, yet their limited accessibility due to cost and disparities poses a significant challenge. The echocardiogram, a critical tool for cardiac assessment, faces increasing demand and scheduling inefficiencies. This study addresses this issue by developing an interpretable machine learning model using the Optimal Sparse Decision Tree algorithm to prioritize echocardiogram appointments. The dataset employed in this research is derived from real-world healthcare, sourced from electronic health records, comprising 34,294 records. It encompasses 64 dummy-coded categorical factors, offering diverse perspectives on patients and their healthcare journeys. These factors span various dimensions, including patient demographics, medical history, and clinical settings. They delve into past medical procedures and anticipate future ones, even incorporating diagnostic indicators for echocardiogram-justifying signs. Our method outperforms contemporary machine learning models, achieving a remarkable 2% improvement in the F1 score, underscoring its effectiveness. Additionally, the decision rules derived from the model align consistently with established medical knowledge, significantly enhancing the interpretability of our approach. This research showcases the potential of our methodology in accurately identifying appointment urgency for echocardiogram scheduling, offering a promising solution to streamline and optimize this critical aspect of cardiac care delivery.",Social Good Analytics,209,4
A Simulation-Based Case Study on ICU Patients - Simulate Nurse-Patient Interaction and Nurse Bedside Time for Critical Patients," Intensive care units (ICUs) provide critical care to unstable patients requiring constant monitoring. Even brief delays in responding to alarms can have significant impacts on unstable patients and result in adverse events such as unplanned extubation. Utilizing Simio simulation software, the research explored the impact of ICU bed-space layout on nurses’ bedside presence. We progressively increased the number of beds and nurses in the simulation from a one-bed, one nurse model to a three-bed, three nurse model. The simulation examined scenarios over 100 hours with different nurse walking speeds, bed distances, and alarm frequencies reflecting patient acuity. The simulation results showed that higher alarm frequencies, slower nurse walking speeds, and greater distances between beds led to more missed alarms. Alarm frequency had the largest impact, resulting in up to three times more missed alarms from the lowest acuity to the highest acuity. Increasing the number of beds did not significantly influence missed alarms. This case study contributes to understanding the ICU patient care and emphasizes the importance of ICU layout, workflow, and timely nurse presence at the bedside. The results obtained from the simulation experiments can also enable data validation and the development of predictive models. Further research can extend the simulation to multiple ICU rooms and utilize Python-based coding for enhanced model complexity.",Healthcare Optimization,87,5
Detection of Hazardous Gaseous and Liquid Borne Pathogens in Industrial Settings Using Embedded Piezoresistive Microcantilever Sensors," There are many instances in industry where workers may be exposed to hazardous airborne entities which may include chemicals, poisons, and other volatile gaseous compounds. At some sites, biological pathogens may be either airborne or in liquid environments. Rapid recognition and evaluation of these hazards is important for the safety of personnel working within these settings. We have designed a basic sensor platform that is adaptable to many different sensing and detection applications. Embedded Piezoresistive Microcantilever (EPM) sensors are small, inexpensive, and easily networked into sensor mesh systems. Their design makes them robust and highly resistant to shock and vibration and thus suitable for many types of industrial applications. In the Embedded Piezoresistive Microcantilever sensor, a tiny, 80-micron piezoresistive microcantilever is embedded or partially embedded into a sensing material. This sensing material may be a polymer, composite material, or biological material or composite. The only requirement for the sensing material is that it undergoes a tiny volume change upon exposure to the desired analyte or analytes. Upon this volume shift in the sensing material, the embedded microcantilever undergoes a tiny strain. In a piezoresistive microcantilever, this strain is measured as a change in the resistance of the microcantilever. In practice, strains of only a few angstroms may be detectable under some circumstances. We have tested sensors in both gaseous and liquid environments for a variety of analytes including volatile organic compounds, poisonous gases, acidic gases, and certain liquid-borne biological pathogens.",Poster Presentations,169,6
Modeling Structure Telehealth," Telehealth has the potential to enhance healthcare accessibility, especially in remote and underserved areas. The expansion of telehealth services is being developed in a transformative era in healthcare delivery, presenting opportunities and challenges for various stakeholders. Therefore, research is needed to understand the structure of telehealth from the perspective of those stakeholders. Specifically, emphasis needs to be given to addressing this problem in states and territories across the United States where telehealth has been understudied, such as the case of Puerto Rico. This research endeavors to model the structure of telehealth in Puerto Rico considering components related to four stakeholders: patients, healthcare providers, insurance providers, and government. A review of published literature and official public documents, complemented with the application of model-based systems engineering language, was used to develop an initial version of the model. By examining the interplay of the four key stakeholders, the initial model helped to: (1) gain insights into the dynamics of telehealth implementation in Puerto Rico by spotlighting the complexities and interdependencies among components across the stakeholder categories, (2) identify barriers and facilitators related to those dynamics, and (3) identify gaps in knowledge that requires further research. Results show that elements related to coverage and reimbursement for telehealth services are not well-defined. Additionally, the panorama is clearer for telehealth in the modality of live-video telemedicine, in comparison with other telehealth modalities. Such insights could potentially inform future efforts in the design of policies and interventions to drive the sustainable growth of telehealth on the island.",Poster Presentations,169,7
A Multiple Criteria Decision Analysis for the Foreing Direct Investment in The Dominican Republic and Central America Free Trade Agreement DR-CAFTA," The Dominican Republic-Central America Free Trade Agreement (DR-CAFTA) remains an essential driver for attracting foreign direct investment (FDI) in the region. This study focuses on analyzing the factors that influence FDI and the choice of the most attractive country for investment. FDI in DR-CAFTA has experienced notable fluctuations, influenced by global events such as the COVID-19 pandemic and the conflict in Eastern Europe. In 2022, FDI reached US$11.31 billion, marking a decrease of 10.10% from the previous year, following an impressive increase of 83.89% in 2021 according to data from the Economic Commission for Latin America and the Caribbean (ECLAC) (2023). The choice of the investment country has become critical, and to address this, this study employs the Analytic Hierarchy Process (AHP), as a decision-making tool. The results highlight Costa Rica as the leading option over other countries in the region, showing a notable concordance with the rankings of the ""GLOBAL OPPORTUNITY INDEX 2021” Focus on Latin America,"" by Contreras et. al. (2021). This analysis delves into the impact of global events on FDI in the DR-CAFTA region, providing valuable guidance supported by rigorous analysis, as well as contributing to the understanding of the dynamics of FDI in this constantly evolving region, helping investors make informed and strategic decisions.",Decision Analysis and Economic Evaluation,38,8
"Forests, Farms and Our Climate: A Systems Study Regarding Sustaining Some of Our Most Important Natural Resources"," From forests to farmland, adopting a systems-level approach to managing the interplay between product output, sustainable growth, and greenhouse gas emissions is becoming key for many of our important natural resources. Forests and farms are not usually synonymous with engineering, design, chemistry, biotechnology and physics. Thirty percent of greenhouse gas respiration from forests throughout the world comes from the soil, not from the trees and shrubs. Smaller, still important gas respiration is also found throughout the world’s farmland soils. Complex relationships between forest and farm plant life, ground litter, soil microbes, temperature, humidity, fertilizers and other factors all need to be considered in the future design and modeling of sustainable farms and forests. Mechanical forest thinning, forest logging and forest recovery after wildfires must adopt systems-level techniques to preserve their viability in future years. We have used a custom, portable, battery-powered quadrupole mass spectrometer in addition to other sensors to measure real-time relative soil concentrations of CO2, CH4, isoprene and water vapor in both forest and farmland soils. Over a 5-year time span, we have tracked the recovery of forests burned by wildfires, mechanically thinned or commercially logged to begin to develop relationships between the many different variables that contribute to soil respiration. Similarly, we have also begun to look at soil respiration in farms using modern design factors and practicing sustainable techniques. Using the chemical and biological data, a multi-disciplinary approach to the design and operation of future farms and forests will help us preserve these important resources.",Poster Presentations,169,9
Optimizing College Food Pantry Locker Systems through Simulation Techniques," Food insecurity affects 10.5% of households in the United States. Among those affected, college students are a group with increasing food insecurity. Through novel food pantry order methods, such as locker order systems, some effects of college food insecurity can be alleviated. The Jane B. Gearhart Full Circle Food Pantry (FCFP) at the University of Arkansas implemented a locker system, beginning in the Fall of 2020. There is a lack of investigation into locker management policies for pantries, such as how much time clients should be allowed to pick up orders after they are placed in lockers, how many lockers the pantry should operate, and on what days of the week should the pantry accept locker orders from clients. This research aims to create and use a discrete-event simulation model of food pantry locker operations to test various locker management policies. The model will determine the locker utilization, number of locker orders filled per week, and locker order reshelving ratio associated with each locker management policy tested. This research will result in recommendations for locker management policies that maximize locker utilization and number of orders filled and minimize order reshelving ratio. Recommended policies will be implemented in the FCFP locker system, and the recommendation process can serve as a resource to other food pantries in the region and in different universities for developing locker systems or managing existing locker systems to better alleviate food insecurity in these communities.",Humanatarian logistics 1,94,10
