,paper_id,paper_title,prim_audience,abstract,session_item_index,room_name,session_name,session_id
0,5981.0,Spatio-Temporal Feedback Diffusion Control Model,Academician,"This work aims to develop a spatio-temporal feedback diffusion control model designed to capture complex system dynamics and adapt in real-time through continuous feedback integration. The model addresses four primary objectives: (i) accurately representing spatial and temporal patterns in dynamic environments, (ii) continuously adjusting control actions based on real-time feedback, (iii) efficiently handling large-scale, high-resolution data, and (iv) enhancing adaptive control in applications such as process automation. By incorporating diffusion mechanisms into the feedback control loop, the model adapts to evolving spatial distributions and temporal changes, enabling precise control even under fluctuating conditions. To achieve high efficiency with large datasets, the framework leverages advanced computational techniques and data handling strategies that support scalable processing without compromising response time. This approach ensures the model's applicability across diverse scenarios, including high-speed automation systems, where quick adjustments are essential. The model’s continuous feedback loop facilitates rapid adaptation, allowing for real-time control modifications that improve system resilience and performance. Initial simulations show promise for this method in maintaining stability and optimizing control actions in complex, dynamic environments. This research contributes to the field of adaptive control by providing a robust, data-driven solution for managing systems with intricate spatio-temporal behaviors, offering significant potential for applications in automated process control and beyond.",1,120 | Cobb Galleria Centre,Advanced Data-Driven Methods in Smart Systems,0
1,5988.0,Task Dependency and Uncertainty-Aware Multi-Task Learning for Machining Process Monitoring,,"Machining process monitoring (MPM) is crucial for predictive maintenance and quality control within smart manufacturing. Additionally, monitoring multiple elements with limited sensors is essential for real-world applications, making it suitable for a multi-task learning (MTL) framework. MTL is an active research area that improves predictive performance across multiple outputs by extracting shared informative features for several tasks within a single model. However, the performance of MTL models is highly dependent on the weights of multiple loss functions, and determining the optimal weights is challenging due to the varying difficulty of each task. Moreover, conventional MTL models cannot consider the relationships between outputs, leading to inaccuracy and unrealistic predictions due to the loss of useful inter-task information. To address these issues, this study proposes a novel architecture incorporating task uncertainty for optimal weighting and task dependency to better capture inter-task relationships. Experiments are conducted on real-world side end-milling datasets using a computer numerical control (CNC) machine, utilizing vibration data alone to predict cutting forces, tool wear, and surface roughness. The proposed method enables accurate and efficient real-time quality control in smart manufacturing.",2,120 | Cobb Galleria Centre,Advanced Data-Driven Methods in Smart Systems,0
2,6233.0,Probabilistic Adaptive Graph Transformer for Uncertainty-Aware Multivariate Time Series Anomaly Detection,Academician,"Multivariate time series anomaly detection (MTAD) is important for ensuring reliable operation and improving service quality in industrial systems. Forecasting-based methods have been a primary approach for MTAD, detecting anomalies by assuming that anomalous data points produce higher forecasting errors than normal ones. However, existing forecasting-based MTAD methods often have limited anomaly detection performance because they generally overlook forecast uncertainty, leading to overconfident detections. In this study, we propose a probabilistic forecasting-based MTAD method that evaluates forecasting errors by comparing observed values with their predictive distributions, reflecting forecast uncertainty, and uses these errors as anomaly scores. Our approach determines the predictive distribution using a deep state-space model, capturing stochasticity in multivariate time series through nonlinear stochastic state transitions. Additionally, we integrate an adaptive graph transformer to capture complex intra- and inter-variable dependencies through a multi-head self-attention mechanism and graph convolutions with a learnable graph, respectively. Experiments demonstrate that our method outperforms current state-of-the-art techniques.",3,120 | Cobb Galleria Centre,Advanced Data-Driven Methods in Smart Systems,0
3,8857.0,ADs: Active Data-selection for Data Quality Assurance in Data-sharing over Advanced Manufacturing Systems,Academician,"Machine learning (ML) methods are widely used in manufacturing applications, which usually require a large amount of training data. However, data collection needs extensive costs and time investments in the manufacturing system, and data scarcity commonly exists. With the development of the industrial internet of things (IIoT), data-sharing is widely enabled among multiple machines with similar functionality to augment the dataset for building ML models. Despite the machines being designed similarly, the distribution mismatch inevitably exists in their data. However, the effective application of ML methods is built upon the assumption that the training and testing data are sampled from the same distribution. Thus, an intelligent data-sharing framework is needed to ensure the quality of the shared data such that only beneficial information is shared to improve the performance of ML methods. In this work, we propose an Active Data-selection (ADs) framework to ensure the quality of the shared data among multiple machines. It is designed as a self-supervised learning framework by integrating the architecture of contrastive learning (CL) and active learning (AL). A novel acquisition function is developed for active learning by integrating the information measure for benefiting down-stream tasks and the similarity score for data quality assurance. To validate the ADs framework, we did simulation study and case study using collected real-world in-situ monitoring data. With a high-quality dataset queried by our proposed framework, the proposed ADs consistently outperforms the classical AL method and is comparable to or even better than the ML trained on fully labeled data.",4,120 | Cobb Galleria Centre,Advanced Data-Driven Methods in Smart Systems,0
4,6264.0,RDDPM: Robust Denoising Diffusion Probabilistic Models for Unsupervised Anomaly Detection and Segmentation in Contaminated Data,Academician,"Anomaly detection in noisy images is essential for quality control in industries like steel, composites, and textiles. Traditional unsupervised anomaly segmentation models, including Robust Principal Component Analysis and Smooth Sparse Decomposition, rely on restrictive data assumptions including anomaly sparsity and a low-rank structure in the normal background. On the other hand, while diffusion-based anomaly detection methods are effective in handling non-linear patterns and non-sparse anomalies, they require large amounts of normal images for training, limiting their applicability in contaminated data. In this paper, we propose a novel method called Robust Diffusion, which leverages robust regression to train a diffusion model without uncontaminated data. Through simulations and a real-world case study on solar cells, we demonstrate that our approach outperforms both traditional statistical models and existing diffusion-based methods in detection accuracy. We also introduce a benchmark synthetic dataset, the RDDPM dataset , containing 100,000 normal and 50,000 anomalous samples with complex patterns and diverse anomaly types under varying lighting intensities. This dataset is designed to rigorously evaluate models for unsupervised anomaly segmentation in contaminated data with complex patterns.",1,120 | Cobb Galleria Centre,Advances in Quality Control with Data Driven Approaches,1
5,6682.0,Quality Control and Defect Detection for WAAM Production Using CloudCompare,,"Wire Arc Additive Manufacturing (WAAM) is a technique used for 3D printing or repairing metal parts by progressively layering metal until the desired 3D structure is fully formed. This research focuses on developing real-time, in-process monitoring and quality control techniques to evaluate multiple quality indicators continuously throughout the WAAM process. It further explores methods for detecting and classifying defects, such as porosity, cracks, lack of fusion, and geometric deviations, that may occur during WAAM. To enhance defect prediction and process optimization, predictive models are generated using machine learning algorithms or physics-based simulations. These models aim to forecast potential defects based on variations in process parameters, allowing for proactive adjustments. 3D scanning is employed to capture the physical form of manufactured parts as point cloud data, which is processed on a computer using Visual Studio code. A complete 360° scan takes approximately two minutes, with the data processing requiring only about five seconds. The resulting point cloud data is visualized in CloudCompare, a specialized software for processing 3D point cloud data. Within CloudCompare, geometrical attributes such as curvature and volume density are calculated and represented as distribution curves, aiding in clarity and precision during analysis. By examining these visualized parts, specific defects can be identified and categorized based on distinctive characteristics. Furthermore, Gaussian distribution curves are utilized to calculate the percentage of defective areas, offering quantitative insights for effective quality control and helping ensure that the final product meets desired specifications.",2,120 | Cobb Galleria Centre,Advances in Quality Control with Data Driven Approaches,1
6,8888.0,Deep Subspace Learning for Surface Anomaly Classification Based on 3D Point Cloud Data,Academician,"Surface anomaly classification is critical for manufacturing system fault diagnosis and quality control. However, the following challenges always hinder accurate anomaly classification in practice: (1) Anomaly patterns exhibit intra-class variation and inter-class similarity, presenting challenges in the accurate classification of each sample. (2) Despite the predefined classes, unseen types of anomalies can occur during production, which also requires precise detection. (3) Anomalous data is rare in manufacturing processes, leading to limited data for model training. This paper proposes a novel deep subspace learning-based classification model to address these challenges. Specifically, we utilize a lightweight encoder to extract the latent representations with a novel subspace classifier for subsequent discrimination. To accomplish this objective, we develop a novel loss function designed to encourage representations of the same class to be in the same subspace, while simultaneously enhancing the distinctiveness of subspaces associated with different classes. Extensive numerical experiments demonstrate our method achieves better anomaly classification results than benchmark methods and can effectively identify unknown anomalies.",3,120 | Cobb Galleria Centre,Advances in Quality Control with Data Driven Approaches,1
7,5674.0,Federated Dynamic Bayesian Network Structure Learning with Continuous Optimization,,"Traditionally, learning the structure of a Dynamic Bayesian network has been centralized, with all data pooled in one location. However, in real-world scenarios, data is often dispersed among multiple parties (e.g., companies, devices) that aim to collaboratively learn a Dynamic Bayesian network while preserving their data privacy and security. In this study, we introduce a federated learning approach for estimating the structure of a Dynamic Bayesian network from data distributed horizontally across different parties. We propose a distributed structure learning method that leverages continuous optimization so that only model parameters are exchanged during optimization. Experimental results on synthetic and real datasets reveal that our method outperforms other techniques, particularly when there are many clients with limited individual sample sizes.",1,120 | Cobb Galleria Centre,Bayesian and Markov Models for Engineering Systems,2
8,5712.0,Optimizing System Availability: Integrating Quantity-Based  Discounts and Delivery Lead Times for Component Procurement  using Markov process,Academician,"Purpose: The model allocates the system components orders to the suppliers to minimize the parts purchase costs, the system construction delay penalties, and maximize the system availability during its operations. It considers the quantity-based discount and variation of delivery lead time by ordering similar components which means providing components from the same supplier. The model also reflects the prerequisite relationships between construction activities and calculates the delay penalty resulting from parts delivery lead time. Methodology: This research presents a mathematical model for selecting suppliers of components of an industrial series-parallel multi-state system. A nonlinear binary mathematical program selects system components using the Markov process results. It minimizes the total system construction phase costs, including the components' price, the system construction delay penalty, and the system exploitation phase costs, including the system shutdown and working at half capacity. Findings: The model allocates optimal orders for the components of a typical industrial system, consisting of four elements. The main industrial system analyzed is the feedwater system (FWS) of heat-recovery steam-generator boilers used in combined cycle power plants in Iran. This system includes 22 components; however, due to the complexities of the Markov model, they were grouped into four subsystems. The proposed approach combines nonlinear binary programming with Markov process results to optimize life cycle parameters of the system, including construction costs and operational availability. Originality: By integrating Markov chain results into binary nonlinear mathematical programming, this study aims to balance the objectives of the construction and operational phases of an industrial unit.",2,120 | Cobb Galleria Centre,Bayesian and Markov Models for Engineering Systems,2
9,5744.0,Availability-Based Design Optimization Using  Markov Chain and a Fuzzy Goal Programming  Approach,Academician,"Designing system configurations is essential for ensuring the safety and efficiency, particularly in strategic sectors such as aerospace, and energy. Optimizing system configurations involves maximizing system availability while minimizing overall costs. This study focuses on the development of a feed water system (FWS) for heat-recovery steam-generator boilers used in combined cycle power plants in Iran. The process includes sourcing components from various suppliers, each offering different part characteristics and pricing, followed by installation at the power plant and subsequent utilization. The project is constrained by a deadline for installation and construction, with penalties incurred for project completion beyond this timeframe. This paper introduces a novel binary nonlinear fuzzy goal programming (FGP) model designed for the selection of part suppliers for multistate parallel-series industrial systems, considering both availability and manufacturing costs. The model incorporates factors such as quantity-based discounts, component purchase costs, and penalties for delays in system construction. Additionally, a fuzzy target programming approach is used to minimize deviations from the target expense goals. A system reliability block diagram is employed to represent the system's operational states—whether it operates at full capacity, partial capacity, or is non-operational. The Markov chain model is utilized to depict the sequence of possible states, where each state's probability is dependent on the reliability of the system components. The model also accounts for the impact of ordering multiple parts from the same supplier, which influences both economies of scale and delivery lead times. Results demonstrate the practical applicability of this approach in optimizing system reliability.",3,120 | Cobb Galleria Centre,Bayesian and Markov Models for Engineering Systems,2
