,session_name,session_id,session_type,room_name,start_datetime,end_datetime,special_session_description,special_session_id
0,Data Analytics & Information Systems (DAIS) Town Hall,,Town Hall,106 | Cobb Galleria Centre,6/2/2025 16:30,6/2/2025 17:50,,1
1,Quality Control & Reliability Engineering Town Hall,,Town Hall,105 | Cobb Galleria Centre,6/1/2025 16:30,6/1/2025 17:50,,2
2,SHS - Society of Health Systems Town Hall,,Town Hall,Fulton | Renaissance Waverly Hotel,6/2/2025 12:00,6/2/2025 13:20,,3
3,SEMS - Society of Engineering Management Town Hall,,Town Hall,117 | Cobb Galleria Centre,6/2/2025 13:30,6/2/2025 14:50,,4
4,Sustainable Development Town Hall,,Town Hall,118 | Cobb Galleria Centre,6/2/2025 12:00,6/2/2025 13:20,,5
5,Modeling & Simulation Town Hall,,Town Hall,110 | Cobb Galleria Centre,6/1/2025 12:00,6/1/2025 13:20,,6
6,U.S. North Central Region Town Hall,,Town Hall,108 | Cobb Galleria Centre,6/2/2025 12:00,6/2/2025 13:20,,7
7,International (IOB) Town Hall,,Town Hall,108 | Cobb Galleria Centre,6/2/2025 13:30,6/2/2025 14:50,,8
8,U.S. Mid-Atlantic Region Town Hall,,Town Hall,101 | Cobb Galleria Centre,6/2/2025 13:30,6/2/2025 14:50,,9
9,U.S. South Central Region Town Hall,,Town Hall,108 | Cobb Galleria Centre,6/1/2025 16:30,6/1/2025 17:50,,10
10,Construction Engineering & Management Town Hall,,Town Hall,Galleria | Renaissance Waverly Hotel,6/1/2025 16:30,6/1/2025 17:50,,11
11,Operational Excellence Town Hall,,Town Hall,108 | Cobb Galleria Centre,6/1/2025 15:00,6/1/2025 16:20,,12
12,Engineering Economy Town Hall,,Town Hall,102 | Cobb Galleria Centre,6/2/2025 13:30,6/2/2025 14:50,,13
13,Work Systems & Services Town Hall (open to all),,Town Hall,108 | Cobb Galleria Centre,6/1/2025 13:30,6/1/2025 14:50,,14
14,Logistics & Supply Chain Town Hall,,Town Hall,Lenox | Renaissance Waverly Hotel,6/1/2025 13:30,6/1/2025 14:50,,15
15,IAB/Young Professionals Town Hall,,Town Hall,Kennesaw | Renaissance Waverly Hotel,6/2/2025 16:30,6/2/2025 17:50,,16
16,Operations Research Town Hall,,Town Hall,Brayton | Renaissance Waverly Hotel,6/2/2025 15:00,6/2/2025 16:20,,17
17,QCRE Best Track Paper Competition,,Special Session,105 | Cobb Galleria Centre,6/1/2025 8:00,6/1/2025 9:20,,18
18,QCRE Best Student Paper Competition,,Special Session,105 | Cobb Galleria Centre,6/1/2025 12:00,6/1/2025 13:20,,19
19,QCRE Student Interaction Session,,Special Session,105 | Cobb Galleria Centre,6/1/2025 15:00,6/1/2025 16:20,,20
20,QCRE Data Challenge Comeptition,,Special Session,116 | Cobb Galleria Centre,6/1/2025 12:00,6/1/2025 13:20,,21
21,Advanced Data-Driven Methods in Smart Systems,0,Presentation,120 | Cobb Galleria Centre,6/1/2025 8:00,6/1/2025 9:20,,
22,Advances in Quality Control with Data Driven Approaches,1,Presentation,120 | Cobb Galleria Centre,6/1/2025 12:00,6/1/2025 13:20,,
23,Bayesian and Markov Models for Engineering Systems,2,Presentation,120 | Cobb Galleria Centre,6/1/2025 13:30,6/1/2025 14:50,,
24,Bayesian and Markov Models for Engineering Systems II,3,Presentation,120 | Cobb Galleria Centre,6/1/2025 15:00,6/1/2025 16:20,,
25,"Gaussian Process and its Advances in Modeling, Prognosis, and Optimization",4,Presentation,120 | Cobb Galleria Centre,6/1/2025 16:30,6/1/2025 17:50,,
26,Data Driven Analysis under Data Constraints,5,Presentation,105 | Cobb Galleria Centre,6/2/2025 8:00,6/2/2025 9:20,,
27,Data-Driven Modeling and Monitoring for Smart Systems,6,Presentation,105 | Cobb Galleria Centre,6/2/2025 12:00,6/2/2025 13:20,,
28,Defect Detection in 3D Point Cloud Inspection,7,Presentation,105 | Cobb Galleria Centre,6/2/2025 13:30,6/2/2025 14:50,,
29,Emerging Methods in Vision-Based Decision Support,8,Presentation,105 | Cobb Galleria Centre,6/2/2025 15:00,6/2/2025 16:20,,
30,Advances in Reinforcement Learning for Complex Systems,9,Presentation,116 | Cobb Galleria Centre,6/2/2025 16:30,6/2/2025 17:50,,
31,High-dimension and Large Scale Data Analysis for Manufacturing Systems,10,Presentation,116 | Cobb Galleria Centre,6/2/2025 8:00,6/2/2025 9:20,,
32,Statistical Modeling and Optimization in Quality Analytics,11,Presentation,120 | Cobb Galleria Centre,6/2/2025 8:00,6/2/2025 9:20,,
33,"Modeling, Monitoring and Control in Additive Manufacturing",12,Presentation,120 | Cobb Galleria Centre,6/2/2025 12:00,6/2/2025 13:20,,
34,"Modeling, Optimization, and Learning for Complex Systems",13,Presentation,120 | Cobb Galleria Centre,6/2/2025 13:30,6/2/2025 14:50,,
35,"Monitoring, Prognosis, and Maintenance in Manufacturing and Electric Vehicle Systems",14,Presentation,120 | Cobb Galleria Centre,6/2/2025 15:00,6/2/2025 16:20,,
36,Failure and Maintenance Analysis for Complex Systems,15,Presentation,120 | Cobb Galleria Centre,6/2/2025 16:30,6/2/2025 17:50,,
37,Machine Learning and Statistical Techniques for Quality Assurance in Manufacturing,16,Presentation,105 | Cobb Galleria Centre,6/3/2025 8:00,6/3/2025 9:20,,
38,Root Cause Analysis in Social and Engineering Applications,,Special Session,105 | Cobb Galleria Centre,6/3/2025 12:00,6/3/2025 13:20,,22
39,Sequential Learning for Manufacturing,17,Presentation,105 | Cobb Galleria Centre,6/3/2025 13:30,6/3/2025 14:50,,
