,session_id,session_name,start_datetime,end_datetime
0,1,D-Wave Quantum Optimization,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
1,2,GAMSPy and Data APIs for Streamlining Optimization,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
2,3,Elevate your Optimization Practice with latest Advances in FICO® Xpress Solver and Xpress Insight,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
3,4,Analyzing Multidimensional Data and building Predictive Models in an Interactive No Code Environment,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
4,5,"Hexaly, a New Kind of Global Optimization Solver",5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
5,6,Linking Logistics Models: Combining ML and OR Through Ensembling and Horizontal Computing,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
6,7,Introducing ChiAha – the Smart Manufacturing Digital Twin Toolkit,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
7,8,"What’s New in Gurobi 12.0: Helping You to Build, Solve, and Deploy Optimization Models",5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
8,9,Littlefield 2.0: A New Version of the Online Game for Operations Management Courses,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
9,10,SAS Analytics,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
10,11,Healthcare Data Analytics,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
13,12,QSR Best Referred Paper,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
17,13,Knowledge Fusion for Modeling and Decision-making in Complex Systems,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
22,14,Advanced Data Analytics for IoT-Enabled Smart and Connected Systems,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
25,15,INFORMS JFIG Best Paper Competition II,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
28,16,Location Analysis for Electric Vehicle Charging,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
33,17,AI in Healthcare and Medical Applications,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
38,18,OR in Security & Defense I (Mission Support),5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
43,19,Selected Auctions & Market Design papers from the EC 2024 conference III,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
47,20,Online Markets and Platforms,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
51,21,Statistical Network Analysis and Applications,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
54,22,Supply Chain and Inventory Optimization,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
57,23,Intelligent Transportation Systems,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
